origin,destination,distance
1,1,0
1,2,22
1,3,16
1,4,21
1,5,16
1,6,24
1,7,17
1,8,17
1,9,7
1,10,20
1,11,14
1,12,26
1,13,17
1,14,19
1,15,15
1,16,14
1,17,22
1,18,27
1,19,31
1,20,30
1,21,19
1,22,36
1,23,21
1,24,25
1,25,19
1,26,10
1,27,24
1,28,22
1,29,17
1,30,13
1,31,13
1,32,29
1,33,14
1,34,23
1,35,16
1,36,22
1,37,11
1,38,20
1,39,14
1,40,29
1,41,23
1,42,19
1,43,19
1,44,23
1,45,10
1,46,19
1,47,17
1,48,20
1,49,14
1,50,22
1,51,23
1,52,18
1,53,16
1,54,17
1,55,22
1,56,15
1,57,15
1,58,16
1,59,24
1,60,19
1,61,18
1,62,17
1,63,32
1,64,25
1,65,16
1,66,20
1,67,18
1,68,20
1,69,17
1,70,13
1,71,18
1,72,21
1,73,17
1,74,13
1,75,13
1,76,21
1,77,26
1,78,19
1,79,12
1,80,24
1,81,18
1,82,32
1,83,18
1,84,14
1,85,21
1,86,17
1,87,19
1,88,16
1,89,19
1,90,18
1,91,20
1,92,25
1,93,22
1,94,10
1,95,3
1,96,13
1,97,17
1,98,25
1,99,14
1,100,26
1,101,11
1,102,22
1,103,23
1,104,18
1,105,16
1,106,27
1,107,20
1,108,22
1,109,19
1,110,22
1,111,24
1,112,23
1,113,21
1,114,16
1,115,15
1,116,21
1,117,19
1,118,20
1,119,18
1,120,18
1,121,16
1,122,6
1,123,18
1,124,29
1,125,20
1,126,22
1,127,26
1,128,24
1,129,10
1,130,28
1,131,16
1,132,17
1,133,12
1,134,14
1,135,19
1,136,23
1,137,22
1,138,24
1,139,26
1,140,10
1,141,5
1,142,20
1,143,23
1,144,15
1,145,18
1,146,18
1,147,18
1,148,23
1,149,21
1,150,21
1,151,17
1,152,8
1,153,16
1,154,24
1,155,19
1,156,13
1,157,6
1,158,18
1,159,22
1,160,22
1,161,15
1,162,23
1,163,24
1,164,16
1,165,12
1,166,16
1,167,34
1,168,16
1,169,20
1,170,17
1,171,21
1,172,19
1,173,12
1,174,30
1,175,14
1,176,22
1,177,26
1,178,18
1,179,19
1,180,25
1,181,19
1,182,23
1,183,21
1,184,23
1,185,17
1,186,18
1,187,16
1,188,19
1,189,26
1,190,16
1,191,23
1,192,14
1,193,15
1,194,16
1,195,25
1,196,21
1,197,19
1,198,17
1,199,25
1,200,21
1,201,13
1,202,18
1,203,17
1,204,16
1,205,18
1,206,23
1,207,17
1,208,12
1,209,19
1,210,24
1,211,14
1,212,21
1,213,21
1,214,18
1,215,27
1,216,19
1,217,22
1,218,18
1,219,15
1,220,25
1,221,18
1,222,20
1,223,18
1,224,25
1,225,15
1,226,18
1,227,16
1,228,22
1,229,17
1,230,24
1,231,18
1,232,19
1,233,18
1,234,20
1,235,14
1,236,22
1,237,15
1,238,20
1,239,16
1,240,21
1,241,20
1,242,23
1,243,28
1,244,16
1,245,19
1,246,16
1,247,16
1,248,33
1,249,27
1,250,12
1,251,18
1,252,21
1,253,13
1,254,29
1,255,18
1,256,20
1,257,19
1,258,16
1,259,23
1,260,20
1,261,12
1,262,28
1,263,22
1,264,19
1,265,17
1,266,20
1,267,19
1,268,26
1,269,21
1,270,23
1,271,18
1,272,16
1,273,19
1,274,25
1,275,28
1,276,22
1,277,12
1,278,26
1,279,20
1,280,12
1,281,8
1,282,22
1,283,20
1,284,23
1,285,22
1,286,18
1,287,15
1,288,20
1,289,20
1,290,16
1,291,17
1,292,17
1,293,17
1,294,29
1,295,26
1,296,22
1,297,16
1,298,19
1,299,24
1,300,24
1,301,10
1,302,22
1,303,23
1,304,17
1,305,21
1,306,18
1,307,17
1,308,16
1,309,19
1,310,24
1,311,21
1,312,15
1,313,15
1,314,26
1,315,25
1,316,22
1,317,16
1,318,18
1,319,17
1,320,20
1,321,17
1,322,25
1,323,19
1,324,22
1,325,26
1,326,22
1,327,18
1,328,35
1,329,18
1,330,23
1,331,22
1,332,30
1,333,20
1,334,27
1,335,21
1,336,24
1,337,9
1,338,16
1,339,21
1,340,13
1,341,23
1,342,21
1,343,16
1,344,22
1,345,5
1,346,22
1,347,23
1,348,22
1,349,24
1,350,25
1,351,15
1,352,26
1,353,14
1,354,19
1,355,13
1,356,23
1,357,27
1,358,19
1,359,24
1,360,25
1,361,4
1,362,31
1,363,18
1,364,22
1,365,14
1,366,17
1,367,23
1,368,25
1,369,24
1,370,19
1,371,21
1,372,15
1,373,19
1,374,23
1,375,17
1,376,13
1,377,19
1,378,23
1,379,24
1,380,21
1,381,18
1,382,24
1,383,18
1,384,20
1,385,16
1,386,23
1,387,19
1,388,21
1,389,24
1,390,15
1,391,26
1,392,18
1,393,22
1,394,24
1,395,15
1,396,13
1,397,18
1,398,18
1,399,22
1,400,28
1,401,9
1,402,18
1,403,17
1,404,20
1,405,24
1,406,24
1,407,18
1,408,12
1,409,21
1,410,21
1,411,17
1,412,24
1,413,20
1,414,17
1,415,23
1,416,14
1,417,18
1,418,18
1,419,13
1,420,24
1,421,18
1,422,23
1,423,20
1,424,17
1,425,11
1,426,22
1,427,21
1,428,19
1,429,28
1,430,26
1,431,15
1,432,21
1,433,21
1,434,24
1,435,21
1,436,24
1,437,21
1,438,25
1,439,20
1,440,19
1,441,16
1,442,26
1,443,25
1,444,24
1,445,12
1,446,20
1,447,20
1,448,25
1,449,17
1,450,16
1,451,15
1,452,17
1,453,19
1,454,28
1,455,18
1,456,23
1,457,17
1,458,16
1,459,22
1,460,29
1,461,13
1,462,21
1,463,18
1,464,23
1,465,17
1,466,13
1,467,27
1,468,25
1,469,12
1,470,11
1,471,16
1,472,23
1,473,19
1,474,14
1,475,17
1,476,20
1,477,19
1,478,15
1,479,16
1,480,28
1,481,17
1,482,18
1,483,18
1,484,26
1,485,19
1,486,21
1,487,17
1,488,29
1,489,22
1,490,40
1,491,15
1,492,17
1,493,19
1,494,26
1,495,25
1,496,21
1,497,17
1,498,20
1,499,17
1,500,28
1,501,17
1,502,19
1,503,22
1,504,23
1,505,11
1,506,16
1,507,16
1,508,26
1,509,20
1,510,11
1,511,17
1,512,20
1,513,22
1,514,20
1,515,20
1,516,20
1,517,17
1,518,22
1,519,16
1,520,16
1,521,21
1,522,15
1,523,20
1,524,28
1,525,21
1,526,22
1,527,16
1,528,32
1,529,21
1,530,22
1,531,8
1,532,20
1,533,24
1,534,19
1,535,20
1,536,16
1,537,14
1,538,32
1,539,15
1,540,34
1,541,11
1,542,30
1,543,22
1,544,16
1,545,21
1,546,19
1,547,22
1,548,29
1,549,16
1,550,16
1,551,19
1,552,12
1,553,19
1,554,22
1,555,19
1,556,20
1,557,18
1,558,24
1,559,27
1,560,22
1,561,19
1,562,15
1,563,17
1,564,18
1,565,13
1,566,27
1,567,21
1,568,19
1,569,20
1,570,16
1,571,17
1,572,18
1,573,17
1,574,19
1,575,15
1,576,18
1,577,16
1,578,15
1,579,33
1,580,23
1,581,12
1,582,17
1,583,22
1,584,23
1,585,26
1,586,21
1,587,23
1,588,17
1,589,18
1,590,20
1,591,30
1,592,14
1,593,20
1,594,17
1,595,17
1,596,28
1,597,19
1,598,14
1,599,43
1,600,24
1,601,18
1,602,23
1,603,31
1,604,31
1,605,16
1,606,13
1,607,23
1,608,16
1,609,16
1,610,34
1,611,15
1,612,29
1,613,19
1,614,23
1,615,21
1,616,23
1,617,16
1,618,23
1,619,23
1,620,25
1,621,16
1,622,19
1,623,20
1,624,22
1,625,13
1,626,22
1,627,18
1,628,22
1,629,37
