n=20000
m=40000
from,to,cost
6706,16226,4
16226,14148,1
14148,15018,5
15018,18059,5
18059,5138,1
5138,13125,4
13125,2323,5
2323,8899,1
8899,2213,4
2213,9218,1
9218,17354,3
17354,9651,2
9651,9522,1
9522,9820,1
9820,10855,4
10855,15835,1
15835,3929,4
3929,2904,1
2904,4990,3
4990,8618,2
8618,13900,5
13900,11408,4
11408,17886,3
17886,16206,2
16206,9514,1
9514,6186,1
6186,15428,2
15428,8377,2
8377,17730,2
17730,12383,5
12383,9783,2
9783,8996,4
8996,8470,4
8470,13477,4
13477,12440,1
12440,10727,2
10727,10613,2
10613,1769,5
1769,3921,5
3921,2228,3
2228,13344,5
13344,436,1
436,5610,1
5610,4752,1
4752,7995,1
7995,18045,3
18045,13271,2
13271,8260,1
8260,3798,2
3798,13346,1
13346,14415,5
14415,13333,1
13333,12660,5
12660,4764,3
4764,18188,3
18188,3380,1
3380,18471,5
18471,12545,2
12545,13491,5
13491,6154,1
6154,14247,1
14247,4890,1
4890,17347,2
17347,2997,4
2997,18927,1
18927,10793,4
10793,18859,1
18859,13898,2
13898,16061,5
16061,18048,4
18048,3152,3
3152,17206,1
17206,1974,3
1974,4030,1
4030,15380,1
15380,19425,1
19425,3433,5
3433,7904,4
7904,1142,3
1142,11636,1
11636,11416,1
11416,1919,4
1919,15147,4
15147,12244,1
12244,854,3
854,4984,1
4984,17894,4
17894,13012,5
13012,15694,2
15694,4019,2
4019,10601,2
10601,15779,3
15779,7260,1
7260,13394,1
13394,19679,2
19679,6603,1
6603,16707,5
16707,16202,4
16202,16163,4
16163,5164,3
5164,12444,1
12444,16995,1
16995,11593,5
11593,84,1
84,11964,3
11964,8705,2
8705,5173,1
5173,1664,4
1664,3475,2
3475,16003,1
16003,5521,1
5521,18618,5
18618,17386,2
17386,5111,3
5111,15427,2
15427,3808,1
3808,16494,2
16494,19682,4
19682,16844,5
16844,579,3
579,14054,3
14054,1824,3
1824,13984,4
13984,18828,1
18828,6849,1
6849,8270,1
8270,16468,2
16468,16729,1
16729,12279,3
12279,172,1
172,415,5
415,6043,4
6043,269,1
269,8652,1
8652,1110,1
1110,7576,5
7576,15969,3
15969,14943,1
14943,5222,5
5222,12708,4
12708,5178,1
5178,580,5
580,2012,5
2012,8041,1
8041,14785,4
14785,10454,4
10454,8298,2
8298,3142,1
3142,16491,4
16491,1691,1
1691,14961,1
14961,8789,1
8789,11044,2
11044,12454,5
12454,14180,2
14180,11290,4
11290,19613,1
19613,3918,3
3918,15010,4
15010,14082,1
14082,14311,1
14311,14486,1
14486,4391,4
4391,8307,3
8307,19114,4
19114,16611,1
16611,15399,1
15399,10722,4
10722,7537,2
7537,2941,4
2941,19326,2
19326,394,2
394,8288,1
8288,7471,3
7471,16300,2
16300,8625,5
8625,1795,2
1795,8123,3
8123,4725,5
4725,5976,1
5976,18593,2
18593,2433,4
2433,880,4
880,12766,5
12766,14947,1
14947,18528,4
18528,2232,5
2232,17655,1
17655,2880,2
2880,16701,3
16701,13915,5
13915,7855,5
7855,9918,4
9918,9744,1
9744,874,4
874,7569,1
7569,3710,1
3710,753,3
753,13311,5
13311,26,3
26,2568,3
2568,10195,4
10195,13765,3
13765,18762,2
18762,5195,1
5195,1394,1
1394,10594,1
10594,13754,3
13754,12133,5
12133,10435,1
10435,9797,4
9797,3800,4
3800,19389,5
19389,6643,5
6643,9430,5
9430,3958,1
3958,8236,1
8236,16169,4
16169,5862,4
5862,827,3
827,12524,5
12524,837,5
837,19429,1
19429,18216,5
18216,17061,2
17061,6938,1
6938,3795,1
3795,11997,4
11997,6241,3
6241,14601,1
14601,13855,5
13855,14763,4
14763,16064,4
16064,17101,1
17101,12121,2
12121,10979,2
10979,11946,1
11946,17426,4
17426,11113,2
11113,5306,3
5306,12497,3
12497,13640,5
13640,7068,2
7068,2824,1
2824,4482,3
4482,12839,3
12839,2220,1
2220,12542,5
12542,8575,1
8575,16133,3
16133,19020,1
19020,18306,5
18306,15499,1
15499,14539,4
14539,14563,5
14563,18734,2
18734,15321,4
15321,11244,5
11244,15827,4
15827,18146,1
18146,11387,2
11387,6261,3
6261,16787,1
16787,1861,1
1861,11107,1
11107,17561,1
17561,18310,1
18310,10735,4
10735,14776,5
14776,5572,1
5572,9683,4
9683,6224,4
6224,18946,3
18946,14594,3
14594,17634,4
17634,1981,1
1981,1727,4
1727,14481,5
14481,5689,2
5689,18679,1
18679,17919,3
17919,10799,3
10799,6940,1
6940,11122,2
11122,19992,5
19992,2388,1
2388,12869,5
12869,5345,3
5345,1842,4
1842,8263,1
8263,4150,3
4150,14006,1
14006,15182,2
15182,549,5
549,14831,4
14831,2431,3
2431,17287,3
17287,5157,1
5157,13128,5
13128,17054,4
17054,13037,1
13037,8772,2
8772,11715,1
11715,6028,3
6028,9818,4
9818,11880,4
11880,4903,3
4903,74,1
74,5554,5
5554,12353,1
12353,16383,1
16383,544,1
544,16182,5
16182,655,3
655,18534,4
18534,7101,1
7101,8042,4
8042,5879,5
5879,230,1
230,16574,5
16574,5693,1
5693,9453,1
9453,9639,4
9639,7583,3
7583,16839,5
16839,5824,2
5824,2893,2
2893,1770,3
1770,12935,5
12935,13888,1
13888,18375,2
18375,6592,1
6592,19924,3
19924,17660,2
17660,5079,5
5079,8606,1
8606,6004,1
6004,13426,3
13426,16449,1
16449,13120,1
13120,5370,5
5370,6472,4
6472,5574,2
5574,18561,1
18561,14009,1
14009,17461,1
17461,17692,1
17692,18966,5
18966,2494,4
2494,14112,3
14112,1216,5
1216,2882,1
2882,9506,1
9506,2947,1
2947,4902,3
4902,13076,1
13076,8543,1
8543,12605,4
12605,5732,1
5732,5909,1
5909,3090,4
3090,13974,3
13974,524,5
524,9351,2
9351,15795,2
15795,5495,5
5495,11413,2
11413,5090,3
5090,15744,3
15744,1993,1
1993,13785,3
13785,18862,4
18862,8385,5
8385,5312,1
5312,16691,5
16691,12621,4
12621,13109,2
13109,15341,3
15341,10877,5
10877,17590,1
17590,4047,5
4047,13764,3
13764,14515,1
14515,3337,5
3337,1688,1
1688,8672,2
8672,19060,4
19060,10064,4
10064,8149,3
8149,5226,2
5226,1003,4
1003,8813,5
8813,18531,4
18531,2766,3
2766,12166,3
12166,12140,5
12140,11112,3
11112,12675,1
12675,14092,3
14092,15421,4
15421,13885,1
13885,8403,2
8403,3260,3
3260,16253,1
16253,8466,1
8466,4652,1
4652,16627,4
16627,11096,3
11096,11595,1
11595,15738,1
15738,19583,3
19583,15293,2
15293,16802,5
16802,7678,2
7678,17498,1
17498,19880,5
19880,8517,2
8517,12496,5
12496,11315,3
11315,17372,3
17372,14424,4
14424,205,5
205,17628,1
17628,6313,1
6313,12640,1
12640,16633,2
16633,7829,4
7829,13405,1
13405,4073,1
4073,17128,5
17128,4928,4
4928,16342,1
16342,11083,1
11083,249,1
249,11109,4
11109,3763,5
3763,3546,5
3546,1533,3
1533,3319,1
3319,6432,5
6432,18740,1
18740,8593,5
8593,15170,5
15170,9355,1
9355,2109,5
2109,703,3
703,11925,2
11925,17076,4
17076,17567,5
17567,1233,1
1233,2700,3
2700,12385,1
12385,2437,2
2437,15761,3
15761,9384,1
9384,2809,3
2809,19418,3
19418,8571,4
8571,5655,2
5655,7259,1
7259,17021,5
17021,1203,1
1203,14044,1
14044,15917,1
15917,13335,3
13335,1711,5
1711,11350,1
11350,16237,1
16237,1835,2
1835,5098,1
5098,9657,1
9657,16628,1
16628,19616,3
19616,4234,1
4234,15684,4
15684,13937,5
13937,13085,3
13085,4643,4
4643,8057,1
8057,15121,4
15121,14098,1
14098,8168,1
8168,15931,2
15931,6549,1
6549,19002,1
19002,3582,2
3582,188,1
188,5895,4
5895,15299,1
15299,8717,4
8717,4666,5
4666,5513,1
5513,12298,3
12298,13498,1
13498,10369,1
10369,10312,5
10312,12654,1
12654,15004,4
15004,15412,4
15412,17682,2
17682,5001,2
5001,10162,5
10162,1819,4
1819,14908,1
14908,16142,5
16142,10400,1
10400,19184,5
19184,6732,5
6732,16945,4
16945,5744,1
5744,8712,1
8712,19256,1
19256,1740,5
1740,6753,3
6753,4758,3
4758,11786,2
11786,5696,3
5696,14389,1
14389,8319,2
8319,5790,4
5790,11950,4
11950,19650,1
19650,18426,1
18426,1643,5
1643,19903,1
19903,11585,2
11585,13229,1
13229,15328,1
15328,11403,1
11403,13514,2
13514,13339,1
13339,15363,2
15363,1841,3
1841,15309,1
15309,16495,2
16495,13462,3
13462,10223,4
10223,18987,3
18987,6508,2
6508,3822,3
3822,5501,3
5501,8661,3
8661,12000,1
12000,10014,4
10014,59,2
59,8397,2
8397,12905,1
12905,3362,1
3362,18820,1
18820,15112,1
15112,4202,5
4202,12422,1
12422,17137,3
17137,3512,1
3512,13581,2
13581,9645,1
9645,4452,5
4452,13231,3
13231,18698,5
18698,12369,3
12369,2208,3
2208,11924,1
11924,17052,3
17052,14786,3
14786,9871,4
9871,4286,5
4286,12729,3
12729,12583,5
12583,4743,1
4743,5754,2
5754,13100,3
13100,15490,2
15490,16957,5
16957,1953,1
1953,1804,3
1804,1010,1
1010,18668,4
18668,3903,1
3903,16807,4
16807,18403,1
18403,3954,4
3954,6802,3
6802,12137,2
12137,3839,1
3839,6594,1
6594,18472,1
18472,7434,1
7434,15438,5
15438,13227,5
13227,900,1
900,3782,1
3782,2378,1
2378,17032,4
17032,175,1
175,17045,5
17045,19976,2
19976,9346,1
9346,17960,2
17960,9591,2
9591,10001,2
10001,10428,1
10428,12648,1
12648,2468,2
2468,17338,4
17338,13782,1
13782,6476,2
6476,8596,1
8596,13649,1
13649,2724,1
2724,17566,5
17566,633,1
633,1360,1
1360,453,4
453,10861,4
10861,19995,1
19995,4124,3
4124,1295,5
1295,8164,1
8164,6276,1
6276,8017,1
8017,1529,1
1529,18812,1
18812,5267,5
5267,8655,1
8655,13945,3
13945,5444,4
5444,11076,3
11076,16551,3
16551,19536,5
19536,10152,5
10152,11625,1
11625,16187,2
16187,19404,1
19404,9050,5
9050,5865,4
5865,19614,2
19614,58,2
58,4678,3
4678,17839,1
17839,4,1
4,15520,4
15520,16983,5
16983,3105,3
3105,9629,1
9629,3347,4
3347,11816,1
11816,3739,1
3739,16597,1
16597,142,3
142,12553,1
12553,9042,1
9042,95,4
95,16332,3
16332,5871,1
5871,9966,5
9966,12958,2
12958,19772,4
19772,1153,4
1153,4655,2
4655,1163,1
1163,19206,1
19206,12488,1
12488,17862,2
17862,4457,1
4457,8902,1
8902,9318,1
9318,19585,2
19585,16956,1
16956,3258,2
3258,5956,4
5956,10982,2
10982,15843,1
15843,1420,3
1420,7492,2
7492,17497,3
17497,2062,4
2062,17200,4
17200,13801,5
13801,914,1
914,19943,5
19943,13533,4
13533,19925,2
19925,13432,1
13432,5284,2
5284,16362,5
16362,6042,1
6042,11800,2
11800,9061,5
9061,14224,5
14224,8782,1
8782,6076,3
6076,813,2
813,9356,2
9356,4832,2
4832,8416,1
8416,5327,2
5327,16923,3
16923,19577,3
19577,17938,4
17938,5335,1
5335,8566,1
8566,10980,1
10980,16379,5
16379,18622,5
18622,6230,2
6230,17976,2
17976,18405,1
18405,10405,3
10405,11476,1
11476,13215,3
13215,6826,1
6826,17750,3
17750,148,1
148,17572,3
17572,2405,4
2405,17035,3
17035,13648,5
13648,2308,1
2308,17678,2
17678,6356,3
6356,13360,1
13360,9887,1
9887,3985,1
3985,9758,2
9758,6022,5
6022,18084,2
18084,13043,4
13043,16115,3
16115,10878,1
10878,2182,4
2182,13750,2
13750,6577,1
6577,13980,2
13980,2520,1
2520,15081,1
15081,19936,3
19936,11288,1
11288,16885,1
16885,6425,1
6425,19132,4
19132,17966,4
17966,8643,3
8643,6117,3
6117,8312,1
8312,4822,3
4822,6320,1
6320,9227,2
9227,6026,3
6026,17880,3
17880,7758,5
7758,2290,2
2290,2179,3
2179,11306,1
11306,19140,1
19140,8518,2
8518,10585,3
10585,13455,3
13455,7421,3
7421,4403,1
4403,7827,4
7827,6694,1
6694,6056,1
6056,16561,4
16561,3716,1
3716,1542,2
1542,11999,1
11999,17273,2
17273,234,3
234,10384,1
10384,16031,1
16031,2610,3
2610,10625,5
10625,16295,1
16295,11659,1
11659,6344,2
6344,2637,3
2637,16212,4
16212,16799,1
16799,5476,3
5476,13449,1
13449,19263,4
19263,9678,1
9678,13306,3
13306,14473,4
14473,1174,1
1174,15970,1
15970,15804,2
15804,12770,4
12770,5842,5
5842,17188,4
17188,13845,4
13845,11051,2
11051,446,2
446,15013,1
15013,10623,1
10623,4781,5
4781,5223,5
5223,15540,1
15540,368,2
368,15944,3
15944,13192,2
13192,702,5
702,412,4
412,13471,5
13471,12619,1
12619,19617,3
19617,422,4
422,8995,5
8995,12270,1
12270,10019,2
10019,16524,1
16524,15971,5
15971,15033,4
15033,1785,1
1785,3092,1
3092,5225,5
5225,1497,4
1497,2992,4
2992,6400,3
6400,6199,5
6199,16326,2
16326,18659,3
18659,11483,1
11483,16310,1
16310,8524,3
8524,8780,2
8780,15680,5
15680,16218,5
16218,8693,5
8693,14916,3
14916,1995,5
1995,17306,1
17306,9456,3
9456,6212,2
6212,19129,3
19129,17890,2
17890,3657,1
3657,6134,5
6134,18640,4
18640,9468,3
9468,13413,1
13413,8373,3
8373,13194,3
13194,16248,5
16248,5145,1
5145,16564,1
16564,782,3
782,18123,1
18123,6609,4
6609,11346,1
11346,11599,4
11599,18225,3
18225,11135,3
11135,17522,3
17522,16527,1
16527,19482,3
19482,14086,2
14086,11442,1
11442,16080,1
16080,12776,4
12776,15331,2
15331,14814,1
14814,5478,1
5478,6112,4
6112,8992,1
8992,11856,1
11856,6188,3
6188,19348,3
19348,2471,1
2471,3549,3
3549,17240,5
17240,11194,1
11194,2386,1
2386,7146,1
7146,8865,1
8865,17103,4
17103,13317,4
13317,11817,1
11817,924,1
924,2014,4
2014,19228,3
19228,7612,3
7612,1800,4
1800,5913,5
5913,8162,1
8162,3268,1
3268,14060,2
14060,14479,3
14479,11176,1
11176,1362,1
1362,18550,5
18550,15267,1
15267,7980,1
7980,11488,3
11488,11672,3
11672,19591,5
19591,1985,2
1985,395,1
395,2181,1
2181,1992,1
1992,17866,5
17866,6045,4
6045,5293,1
5293,13656,5
13656,7351,4
7351,18299,1
18299,11777,2
11777,2081,1
2081,7277,1
7277,7927,4
7927,4114,4
4114,19032,3
19032,11932,3
11932,6116,3
6116,6041,5
6041,9004,1
9004,799,3
799,3133,3
3133,19408,2
19408,11226,4
11226,16662,1
16662,9725,1
9725,11213,4
11213,11410,2
11410,5514,5
5514,5887,2
5887,8409,1
8409,17185,1
17185,11323,1
11323,8450,2
8450,5301,4
5301,5372,1
5372,18234,5
18234,8547,1
8547,3597,4
3597,13831,2
13831,8252,5
8252,18271,2
18271,11332,5
11332,16397,3
16397,8662,2
8662,1807,5
1807,552,2
552,17943,3
17943,14511,3
14511,16620,4
16620,7133,1
7133,17872,5
17872,1786,2
1786,4791,1
4791,4858,4
4858,7414,3
7414,4641,3
4641,11299,1
11299,2647,4
2647,3008,2
3008,14587,2
14587,14614,5
14614,13061,1
13061,7680,1
7680,10730,3
10730,11859,4
11859,16793,4
16793,1898,1
1898,19597,1
19597,10335,1
10335,14226,3
14226,12152,1
12152,18902,1
18902,9412,5
9412,607,4
607,11687,5
11687,18061,2
18061,7246,2
7246,3552,1
3552,4775,2
4775,6150,3
6150,12002,4
12002,5099,1
5099,16314,3
16314,12706,1
12706,6284,2
6284,12340,3
12340,4757,4
4757,4006,4
4006,12073,1
12073,4539,1
4539,7225,3
7225,639,4
639,17986,4
17986,6163,4
6163,5571,2
5571,6833,1
6833,4784,4
4784,1404,2
1404,5793,5
5793,18897,1
18897,5148,4
5148,8012,3
8012,483,1
483,18674,2
18674,18878,2
18878,11863,2
11863,8761,4
8761,16043,2
16043,17265,1
17265,1809,5
1809,12304,3
12304,3303,1
3303,2236,4
2236,2051,4
2051,10766,1
10766,10958,3
10958,9523,1
9523,3029,3
3029,6625,5
6625,8490,4
8490,13250,1
13250,13159,2
13159,4166,5
4166,2653,1
2653,16890,3
16890,10665,4
10665,4670,1
4670,2306,1
2306,14414,2
14414,1379,5
1379,13767,5
13767,18718,3
18718,4957,2
4957,5008,1
5008,11441,2
11441,15733,1
15733,11031,1
11031,14693,3
14693,9020,5
9020,6217,5
6217,8359,1
8359,3039,5
3039,17420,2
17420,13943,1
13943,2403,1
2403,364,4
364,8985,1
8985,19029,3
19029,5357,1
5357,12587,2
12587,6840,5
6840,2955,4
2955,9561,5
9561,9145,5
9145,10919,3
10919,13260,4
13260,3312,1
3312,13309,5
13309,14165,3
14165,7155,1
7155,13404,1
13404,2562,5
2562,10043,1
10043,17734,1
17734,11912,5
11912,13938,4
13938,3180,4
3180,7160,4
7160,12891,2
12891,17216,4
17216,10236,1
10236,6845,4
6845,14227,3
14227,10757,3
10757,15785,1
15785,2377,1
2377,15613,5
15613,4350,4
4350,8234,4
8234,4821,3
4821,19443,4
19443,19121,5
19121,11940,2
11940,11358,4
11358,17209,4
17209,2979,1
2979,71,5
71,10507,3
10507,8967,1
8967,17031,4
17031,679,1
679,3506,5
3506,4412,2
4412,17542,1
17542,13353,4
13353,5480,2
5480,4324,3
4324,4674,1
4674,9307,1
9307,42,2
42,793,2
793,4814,3
4814,192,4
192,3078,1
3078,15059,4
15059,7703,1
7703,10546,1
10546,2488,4
2488,13196,5
13196,17334,3
17334,13914,4
13914,6257,2
6257,2082,3
2082,15202,3
15202,14334,1
14334,3725,1
3725,4311,4
4311,2763,3
2763,9849,1
9849,10173,1
10173,19282,1
19282,5259,1
5259,16074,4
16074,8153,5
8153,18882,3
18882,18144,5
18144,15021,2
15021,49,1
49,774,2
774,959,5
959,1260,2
1260,7551,3
7551,7891,5
7891,1574,1
1574,14749,3
14749,13429,1
13429,4548,1
4548,12230,1
12230,16011,4
16011,12147,2
12147,1739,1
1739,10907,2
10907,18520,1
18520,250,2
250,15822,3
15822,16907,2
16907,4949,1
4949,13110,5
13110,13044,1
13044,940,1
940,923,1
923,10937,4
10937,18510,1
18510,12624,3
12624,7866,1
7866,3226,3
3226,14352,2
14352,15725,2
15725,5016,4
5016,6602,1
6602,11229,3
11229,12109,1
12109,9893,4
9893,16392,3
16392,12207,4
12207,5619,2
5619,16528,2
16528,7993,1
7993,18435,3
18435,2333,1
2333,13921,5
13921,4934,2
4934,4557,1
4557,2734,3
2734,4518,2
4518,11607,3
11607,13256,2
13256,18911,4
18911,1226,1
1226,19192,3
19192,1207,5
1207,11227,3
11227,16533,1
16533,15672,1
15672,16702,3
16702,1997,3
1997,7138,3
7138,5595,1
5595,3175,1
3175,15552,1
15552,263,1
263,16770,1
16770,17038,2
17038,11900,1
11900,17559,5
17559,17451,2
17451,3174,1
3174,1433,1
1433,9019,1
9019,905,3
905,1241,3
1241,16475,1
16475,976,5
976,13773,1
13773,17278,5
17278,15618,3
15618,17611,3
17611,10020,2
10020,9868,5
9868,6986,5
6986,6358,4
6358,10190,2
10190,4531,1
4531,15885,1
15885,10661,2
10661,18703,1
18703,14377,1
14377,6239,5
6239,7675,2
7675,3950,1
3950,12516,1
12516,16009,1
16009,5229,5
5229,8175,4
8175,17537,1
17537,12034,4
12034,5249,1
5249,14482,1
14482,17589,3
17589,11858,1
11858,3801,1
3801,17320,2
17320,4405,1
4405,16112,2
16112,8704,3
8704,15393,1
15393,19564,5
19564,10304,5
10304,1402,5
1402,7646,1
7646,126,5
126,9393,1
9393,18041,5
18041,2550,4
2550,513,4
513,14106,4
14106,13521,1
13521,9441,3
9441,4935,4
4935,11679,2
11679,16989,5
16989,903,5
903,10925,3
10925,8179,5
8179,17139,5
17139,7284,2
7284,16033,1
16033,16188,2
16188,6074,5
6074,7262,2
7262,12904,4
12904,12912,3
12912,8574,1
8574,11344,5
11344,15909,2
15909,238,1
238,14100,4
14100,9001,2
9001,7175,2
7175,1254,5
1254,8172,4
8172,1026,1
1026,17483,4
17483,3011,5
3011,7364,4
7364,81,1
81,9640,4
9640,9419,3
9419,3225,2
3225,851,2
851,11222,5
11222,5362,1
5362,2601,1
2601,13932,3
13932,5535,1
5535,9343,4
9343,14665,3
14665,19873,3
19873,16723,5
16723,13121,4
13121,1950,2
1950,7298,3
7298,4604,2
4604,7862,2
7862,2008,3
2008,14593,4
14593,11148,1
11148,17675,5
17675,4329,5
4329,8666,1
8666,5991,2
5991,17272,4
17272,3531,2
3531,1182,1
1182,17113,4
17113,10114,2
10114,16178,3
16178,17649,1
17649,1467,1
1467,13143,3
13143,6660,2
6660,9755,1
9755,5285,1
5285,5965,4
5965,17363,5
17363,6534,4
6534,10206,1
10206,17097,5
17097,8852,2
8852,10926,5
10926,12403,4
12403,186,3
186,14762,1
14762,9649,5
9649,13894,1
13894,9588,4
9588,11026,5
11026,17069,2
17069,17494,1
17494,8360,3
8360,17882,1
17882,8960,5
8960,2664,3
2664,10225,2
10225,3413,2
3413,8779,5
8779,31,4
31,8964,3
8964,18223,1
18223,10881,2
10881,17459,1
17459,17268,1
17268,18106,1
18106,12987,1
12987,15422,1
15422,3620,1
3620,17192,1
17192,7462,5
7462,10818,1
10818,1872,4
1872,4435,2
4435,7868,1
7868,477,4
