origin,destination,distance
3,1,1
3,2,2
3,3,0
3,4,1
3,5,2
3,6,2
3,7,1
3,8,1
3,9,2
3,10,2
3,11,1
3,12,2
3,13,2
3,14,2
3,15,2
3,16,2
3,17,2
3,18,1
3,19,2
3,20,2
3,21,1
3,22,1
3,23,2
3,24,1
3,25,1
3,26,2
3,27,1
3,28,2
3,29,2
3,30,2
3,31,2
3,32,2
3,33,2
3,34,2
3,35,2
3,36,2
3,37,2
3,38,1
3,39,1
3,40,1
3,41,1
3,42,2
3,43,2
3,44,1
3,45,1
3,46,1
3,47,2
3,48,2
3,49,2
3,50,2
3,51,2
3,52,1
3,53,2
3,54,2
3,55,1
3,56,1
3,57,2
3,58,2
3,59,2
3,60,2
3,61,1
3,62,2
3,63,2
3,64,1
3,65,2
3,66,2
3,67,1
3,68,2
3,69,1
3,70,1
3,71,2
3,72,2
3,73,2
3,74,1
3,75,2
3,76,2
3,77,2
3,78,2
3,79,2
3,80,2
3,81,2
3,82,2
3,83,1
3,84,2
3,85,1
3,86,1
3,87,1
3,88,2
3,89,2
3,90,2
3,91,2
3,92,1
3,93,2
3,94,2
3,95,1
3,96,2
3,97,2
3,98,2
3,99,2
3,100,2
3,101,1
3,102,2
3,103,2
3,104,2
3,105,1
3,106,2
3,107,1
3,108,2
3,109,2
3,110,2
3,111,2
3,112,1
3,113,1
3,114,2
3,115,2
3,116,1
3,117,2
3,118,2
3,119,2
3,120,2
3,121,1
3,122,1
3,123,1
3,124,2
3,125,1
3,126,2
3,127,2
3,128,2
3,129,1
3,130,2
3,131,2
3,132,1
3,133,2
3,134,1
3,135,2
3,136,1
3,137,1
3,138,2
3,139,1
3,140,1
3,141,2
3,142,2
3,143,1
3,144,2
3,145,1
3,146,2
3,147,2
3,148,1
3,149,2
3,150,2
3,151,2
3,152,1
3,153,2
3,154,2
3,155,1
3,156,2
3,157,2
3,158,1
3,159,2
3,160,1
3,161,2
3,162,2
3,163,2
3,164,2
3,165,1
3,166,2
3,167,2
3,168,2
3,169,2
3,170,2
3,171,1
3,172,1
3,173,1
3,174,1
3,175,2
3,176,2
3,177,2
3,178,1
3,179,2
3,180,2
3,181,2
3,182,2
3,183,1
3,184,1
3,185,2
3,186,2
3,187,1
3,188,2
3,189,2
3,190,2
3,191,2
3,192,2
3,193,2
3,194,2
3,195,2
3,196,1
3,197,2
3,198,2
3,199,1
3,200,2
3,201,2
3,202,2
3,203,1
3,204,2
3,205,1
3,206,1
3,207,2
3,208,2
3,209,2
3,210,2
3,211,2
3,212,1
3,213,1
3,214,1
3,215,1
3,216,2
3,217,2
3,218,2
3,219,1
3,220,1
3,221,2
3,222,1
3,223,1
3,224,1
3,225,1
3,226,1
3,227,1
3,228,2
3,229,2
3,230,2
3,231,2
3,232,2
3,233,1
3,234,2
3,235,1
3,236,2
3,237,1
3,238,1
3,239,2
3,240,2
3,241,1
3,242,2
3,243,2
3,244,1
3,245,1
3,246,2
3,247,1
3,248,2
3,249,2
3,250,2
3,251,2
3,252,2
3,253,2
3,254,2
3,255,1
3,256,2
3,257,2
3,258,2
3,259,1
3,260,2
3,261,2
3,262,1
3,263,2
3,264,2
3,265,1
3,266,2
3,267,1
3,268,2
3,269,2
3,270,2
3,271,1
3,272,1
3,273,1
3,274,2
3,275,2
3,276,1
3,277,2
3,278,1
3,279,2
3,280,2
3,281,2
3,282,1
3,283,2
3,284,1
3,285,2
3,286,2
3,287,2
3,288,2
3,289,2
3,290,1
3,291,2
3,292,1
3,293,2
3,294,2
3,295,2
3,296,1
3,297,2
3,298,2
3,299,1
3,300,1
3,301,2
3,302,1
3,303,1
3,304,2
3,305,1
3,306,1
3,307,1
3,308,1
3,309,2
3,310,2
3,311,2
3,312,1
3,313,1
3,314,1
3,315,1
3,316,2
3,317,1
